question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
1,Obyektə təsir edən mühit necə adlanır?,İqlim mühiti,İnfrastruktur,Sosial mühit.,ətraf mühit,Sənaye qovşaqları,d
2,“Zəif və ciddi” terminləri nəyə aiddir?,Texnikanın tətbiqinə,Yeni texnologiyanın gətirilməsinə,Lokal inkişafa,davamlı inkişafa,Reqional inkişafa,d
3,Təbii ərazi kompleksləri və ərazi istehsal kompleksləri nədir?,Məhəlli ərazi istehsal kompleksləri.,İqtisadi rayonlar.,Sənaye qovşaqları.,Sənaye qovşaqları və iqtisadi rayonlar.,ekoloji iqtisadi sistemlərin tərkib hissəsi,e
4,Ekoloji normativlər nəyin göstəricisidir?,Şəhərlər,Sənaye qovşaqları.,Ərazi istehsal kompleksləri.,ətraf mühitin keyfiyyəti,Təbii ərazi kompleksləri.,d
5,Ətraf mühitə antropogen təsir necə baş verir?,Başqa planetlərdən gəlmələr.,bitkilər,Heyvanlar.,İnsanlar.,Quşlar.,d
6,Təbii mühitə icazə verilən təsir norması nədir?,Maddələrin kimyəvi fəallığı.,Ekoloji təhlükəsizlik.,İqtisadi təhlükəsizlik.,Texniki təhlükəsizlik.,keyfiyyət normativi,e
7,İnsanların ekoloji təhlükəsizliyinə aid edilir:,Təbii mühitə icazə verilən təsir norması.,Ekoloji təhlükəsizlik.,Texniki təhlükəsizlik.,İqtisadi təhlükəsizlik.,ekoloji normativlər,e
8,Desibel hansı çirklənmənin vahididir?,bərk tullantı,maye tullantı,sürət vahididir,toz tullantıları,səs-küy,e
9,Ekoloji məhdudiyyətlər lazımdır:,İqtisadiyyatı inkişaf etdirmək üçün.,Sənayeni inkişaf etdirmək üçün.,Kənd təsərrüfatı üçün.,Təbii ehtiyatlardan istifadə üçün.,Torpağı genişləndirmək üçün.,d
10,Təbii ehtiyatlar alınır:,Günəş enercisindən.,Hidrosferdən,Atmosferdən.,Təbii amillərdən.,Təbii ünsürlərdən.,e
11,"Fiziki,kimyəvi,bioloji və radioaktiv çirklənmələr necə yaranır?",Başqa planetlərdən gəlmələr.,İnsanlar.,Heyvanlar.,təsərrüfat fəaliyyəti nəticəsində,Meşələr,d
